Aspects,Key Area,,No,Requirement,Keterangan ,Sample
,,,,,,
,,,,,,
P1 Data Center,P1.1 Server,,1,Menggunakan versi OS & firmware yang masih di support oleh Principal,"Operating System (OS) dan firmware yang digunakan pada perangkat di unit IOG harus menggunakan versi yang masih mendapatkan dukungan (support) dari principal atau vendor. Dukungan ini mencakup pembaruan keamanan, pembaruan fitur, dan dukungan teknis untuk memastikan bahwa perangkat tetap aman dan stabil.","- Daftar perangkat di unit IOG beserta versi OS dan firmware yang digunakan
- Bukti bahwa versi yang digunakan masih didukung oleh principal (misalnya tautan ke halaman dukungan vendor atau dokumentasi)
- Laporan audit untuk memastikan semua perangkat menggunakan versi yang masih mendapatkan dukungan
- Bukti pembaruan versi OS & firmware terbaru yang disediakan oleh principal"
,,,2,Memiliki capacity planning untuk kebutuhan hardware dan license sesuai pertumbuhan bisnis,"Capacity planning harus dilakukan untuk memastikan ketersediaan hardware dan license sejalan dengan pertumbuhan bisnis. Planning ini mencakup proyeksi kebutuhan di masa mendatang untuk menghindari masalah seperti kekurangan kapasitas, keterbatasan performa, atau lisensi yang kedaluwarsa, yang dapat menghambat operasional bisnis.","- Dokumen capacity planning yang mencakup proyeksi kebutuhan hardware dan lisensi berdasarkan pertumbuhan bisnis
- Bukti evaluasi kapasitas saat ini dan rencana untuk penambahan atau upgrade
- Laporan analisis proyeksi pertumbuhan bisnis yang digunakan sebagai dasar untuk capacity planning
- Bukti pembelian atau perpanjangan lisensi sesuai dengan kebutuhan yang diproyeksikan"
,,,3,Memiliki threshold utilisasi server sesuai dengan spek server yang digunakan baik server fisik / server VM,"Harus ada threshold utilisasi yang ditetapkan untuk server fisik dan virtual (VM) berdasarkan spesifikasi server. Threshold ini digunakan untuk memantau tingkat pemakaian CPU, memori, disk, dan sumber daya lain agar tetap berada di dalam batas yang dapat dikelola, sehingga menghindari overutilisasi yang dapat menurunkan performa atau menyebabkan downtime.","- Dokumen threshold utilisasi yang ditetapkan untuk setiap server (CPU, memori, disk, dan lain-lain)
- Bukti monitoring server yang menunjukkan utilisasi dibandingkan dengan threshold yang telah ditetapkan
- Laporan evaluasi utilisasi server secara berkala yang digunakan untuk memastikan server tidak melebihi threshold
- Log tindakan mitigasi ketika utilisasi server mendekati atau melebihi threshold yang telah ditetapkan"
,,,4,Memiliki Disaster Recovery Center (DRC) server (Active - active / Active - passive) dengan kapasitas yang sama,"Harus ada Disaster Recovery Center (DRC) yang memiliki server dengan kapasitas yang sama seperti di data center utama. DRC dapat diimplementasikan dalam mode Active-Active atau Active-Passive untuk memastikan kontinuitas layanan jika terjadi gangguan di data center utama. DRC harus memiliki kemampuan untuk menjalankan operasional bisnis tanpa kendala jika terjadi bencana, dengan kapasitas yang setara agar tidak terjadi penurunan performa.","- dokumentasi arsitektur DRC yang menunjukkan konfigurasi Active-Active atau Active-Passive dengan kapasitas setara
- Laporan kapasitas server di data center utama dan DRC untuk memastikan kesetaraan
- Hasil pengujian failover antara data center utama dan DRC yang menunjukkan kemampuan beroperasi tanpa penurunan performa
- Bukti adanya prosedur pemeliharaan DRC untuk menjaga kesesuaian kapasitas dan kesiapan"
,,,5,Memiliki real time replikasi DC-DRC,"Harus ada replikasi real-time antara Data Center (DC) dan Disaster Recovery Center (DRC) untuk memastikan bahwa data selalu up-to-date di kedua lokasi. Replikasi real-time ini memastikan bahwa setiap perubahan yang terjadi di DC langsung direplikasi ke DRC, sehingga DRC siap mengambil alih operasional jika terjadi gangguan pada DC utama tanpa kehilangan data.","- dokumentasi konfigurasi replikasi antara DC dan DRC yang menunjukkan penggunaan mekanisme replikasi real-time
- Laporan monitoring replikasi yang menunjukkan status replikasi dalam real-time dan tanpa kendala
- Hasil pengujian failover untuk memastikan data di DRC sinkron dengan DC
- Log aktivitas replikasi yang menunjukkan bahwa setiap perubahan data berhasil direplikasi dalam waktu nyata ke DRC"
,P1.2 Storage,,1,Menggunakan versi OS & firmware yang masih di support oleh Principal,"Operating System (OS) dan firmware yang digunakan pada perangkat di unit IOG harus dalam versi yang masih mendapatkan dukungan (support) dari principal atau vendor. Dukungan ini mencakup pembaruan keamanan, pembaruan fitur, dan dukungan teknis untuk memastikan perangkat tetap aman dan stabil.","- Daftar perangkat di unit IOG beserta versi OS dan firmware yang digunakan
- Bukti bahwa versi yang digunakan masih didukung oleh principal (misalnya tautan ke halaman dukungan vendor atau dokumentasi resmi)
- Laporan audit untuk memastikan semua perangkat menggunakan versi yang masih mendapatkan dukungan
- Bukti pembaruan versi OS & firmware terbaru yang disediakan oleh principal"
,,,2,Memiliki capacity planning sesuai kebutuhan pertumbuhan bisnis,"Harus ada capacity planning yang disusun untuk memastikan ketersediaan sumber daya TI seperti hardware, software, dan infrastruktur jaringan sejalan dengan pertumbuhan bisnis. Planning ini mencakup proyeksi kebutuhan di masa mendatang agar bisnis dapat tumbuh tanpa terkendala masalah kapasitas, seperti kekurangan perangkat keras atau lisensi yang tidak memadai.","- Dokumen capacity planning yang mencakup proyeksi kebutuhan hardware; software; dan infrastruktur sesuai dengan pertumbuhan bisnis
- Bukti evaluasi kapasitas saat ini dan rencana untuk penambahan atau upgrade
- Laporan analisis proyeksi pertumbuhan bisnis yang digunakan sebagai dasar capacity planning
- Bukti pembelian atau peningkatan kapasitas sumber daya sesuai dengan proyeksi kebutuhan"
,,,3,Memiliki threshold utilisasi storage,"Harus ada threshold utilisasi storage yang ditetapkan untuk memantau tingkat penggunaan kapasitas storage. Threshold ini digunakan untuk memastikan bahwa utilisasi storage tidak melebihi batas yang telah ditentukan, sehingga mencegah overutilisasi yang dapat mengakibatkan penurunan performa atau kegagalan sistem. Dengan adanya threshold, dapat dilakukan perencanaan lebih awal untuk penambahan kapasitas jika diperlukan.","- Dokumen threshold utilisasi storage yang ditetapkan untuk memantau tingkat pemakaian kapasitas storage
- Laporan monitoring storage yang menunjukkan tingkat utilisasi dibandingkan dengan threshold yang telah ditetapkan
- Bukti tindakan mitigasi atau penambahan kapasitas jika utilisasi storage mendekati atau melebihi threshold
- Laporan evaluasi utilisasi storage secara berkala untuk memastikan keberlanjutan operasional yang optimal"
